Airline,Airport,Age,Gender,TripPurpose,NoTripsLastYear,Destination,SeatClass,Airfare,Occupation,DepartureHr,Nationality,DepartureTime,OccupationCat,airlineCat,Inchoen,Gimpo,Male,Female,Southeast AsiaD,ChinaD,JapanD,Economy,Business,First,Leisure,BusinessPurpose,Study,OtherPurpose,HighLevelProfessionals,Service,SelfEmployed,NonWorking,KoreanMajor,KoreanLCForeign,Korea,ChinaN,JapanN,SoutheastAsiaN,OtherN,DepartureHourFilled
1.0,1,40.0,2.0,1,1,3.0,3.0,80.0,12,14,1,2,3,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
1.0,1,44.0,1.0,2,4,3.0,1.0,59.0,5,18,1,3,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,18.0
1.0,1,31.0,2.0,4,100,3.0,2.0,40.0,12,10,1,1,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,10.0
1.0,1,57.0,1.0,2,10,3.0,1.0,,12,18,4,3,3,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,18.0
3.0,1,28.0,1.0,1,4,3.0,1.0,30.0,2,19,1,3,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,19.0
1.0,1,32.0,2.0,1,2,1.0,1.0,48.0,12,14,1,2,3,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,14.0
1.0,1,29.0,2.0,1,2,2.0,1.0,54.0,3,13,1,2,2,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,13.0
1.0,1,35.0,2.0,2,20,3.0,1.0,60.0,12,18,1,3,3,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,18.0
2.0,1,45.0,1.0,2,7,1.0,1.0,52.0,1,12,2,2,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,12.0
3.0,1,28.0,1.0,1,2,3.0,1.0,45.0,2,8,1,3,1,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,8.0
3.0,1,53.0,2.0,1,0,3.0,1.0,45.0,12,20,1,3,3,2,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20.0
3.0,1,57.0,1.0,1,3,3.0,1.0,50.0,12,20,1,3,3,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,20.0
